domain,name,iteration,size,span,ns,us
dotnet2,ManagedStatic,0,10,00:00:00.0000632,6320,6.32
dotnet2,ManagedVirtual,0,10,00:00:00.0000731,7310,7.31
dotnet2,DllImportDirect,0,10,00:00:00.0003584,35840,35.84
dotnet2,DllImportCustomMarshaller,0,10,00:00:00.0006577,65770,65.77
dotnet2,ManagedStatic,0,20,00:00:00.0000002,10,0.01
dotnet2,ManagedVirtual,0,20,00:00:00.0000002,10,0.01
dotnet2,DllImportDirect,0,20,00:00:00.0000034,170,0.17
dotnet2,DllImportCustomMarshaller,0,20,00:00:00.0000103,515,0.515
dotnet2,ManagedStatic,0,40,00:00:00.0000002,5,0.005
dotnet2,ManagedVirtual,0,40,00:00:00.0000003,7.5,0.0075
dotnet2,DllImportDirect,0,40,00:00:00.0000048,120,0.12
dotnet2,DllImportCustomMarshaller,0,40,00:00:00.0000187,467.5,0.4675
dotnet2,ManagedStatic,0,80,00:00:00.0000005,6.25,0.00625
dotnet2,ManagedVirtual,0,80,00:00:00.0000006,7.5,0.0075
dotnet2,DllImportDirect,0,80,00:00:00.0000093,116.25,0.11625
dotnet2,DllImportCustomMarshaller,0,80,00:00:00.0000397,496.25,0.49625
dotnet2,ManagedStatic,0,160,00:00:00.0000009,5.625,0.005625
dotnet2,ManagedVirtual,0,160,00:00:00.0000011,6.875,0.006875
dotnet2,DllImportDirect,0,160,00:00:00.0000184,115,0.115
dotnet2,DllImportCustomMarshaller,0,160,00:00:00.0000782,488.75,0.48875
dotnet2,ManagedStatic,0,320,00:00:00.0000015,4.6875,0.0046875
dotnet2,ManagedVirtual,0,320,00:00:00.0000021,6.5625,0.0065625
dotnet2,DllImportDirect,0,320,00:00:00.0000364,113.75,0.11375
dotnet2,DllImportCustomMarshaller,0,320,00:00:00.0002249,702.8125,0.7028125
dotnet2,ManagedStatic,0,640,00:00:00.0000031,4.84375,0.00484375
dotnet2,ManagedVirtual,0,640,00:00:00.0000042,6.5625,0.0065625
dotnet2,DllImportDirect,0,640,00:00:00.0000738,115.3125,0.1153125
dotnet2,DllImportCustomMarshaller,0,640,00:00:00.0003095,483.59375,0.48359375
dotnet2,ManagedStatic,0,1280,00:00:00.0000061,4.765625,0.004765625
dotnet2,ManagedVirtual,0,1280,00:00:00.0000084,6.5625,0.0065625
dotnet2,DllImportDirect,0,1280,00:00:00.0001456,113.75,0.11375
dotnet2,DllImportCustomMarshaller,0,1280,00:00:00.0006215,485.546875,0.485546875
dotnet2,ManagedStatic,0,2560,00:00:00.0000121,4.7265625,0.0047265625
dotnet2,ManagedVirtual,0,2560,00:00:00.0000166,6.484375,0.006484375
dotnet2,DllImportDirect,0,2560,00:00:00.0002901,113.3203125,0.1133203125
dotnet2,DllImportCustomMarshaller,0,2560,00:00:00.0012634,884.140625,0.884140625
dotnet2,ManagedStatic,0,5120,00:00:00.0000241,4.70703125,0.00470703125
dotnet2,ManagedVirtual,0,5120,00:00:00.0000330,6.4453125,0.0064453125
dotnet2,DllImportDirect,0,5120,00:00:00.0005803,113.33984375,0.11333984375
dotnet2,DllImportCustomMarshaller,0,5120,00:00:00.0024835,875.68359375,0.87568359375
dotnet2,ManagedStatic,0,10240,00:00:00.0000480,4.6875,0.0046875
dotnet2,ManagedVirtual,0,10240,00:00:00.0000658,6.42578125,0.00642578125
dotnet2,DllImportDirect,0,10240,00:00:00.0011951,214.365234375,0.214365234375
dotnet2,DllImportCustomMarshaller,0,10240,00:00:00.0049684,875.8203125,0.8758203125
dotnet2,ManagedStatic,0,20480,00:00:00.0000957,4.6728515625,0.0046728515625
dotnet2,ManagedVirtual,0,20480,00:00:00.0001314,6.416015625,0.006416015625
dotnet2,DllImportDirect,0,20480,00:00:00.0023864,214.1796875,0.2141796875
dotnet2,DllImportCustomMarshaller,0,20480,00:00:00.0099696,926.25,0.92625
dotnet2,ManagedStatic,0,40960,00:00:00.0001918,4.6826171875,0.0046826171875
dotnet2,ManagedVirtual,0,40960,00:00:00.0002625,6.40869140625,0.00640869140625
dotnet2,DllImportDirect,0,40960,00:00:00.0046706,211.6845703125,0.2116845703125
dotnet2,DllImportCustomMarshaller,0,40960,00:00:00.0189665,902.50244140625,0.90250244140625
dotnet2,ManagedStatic,0,81920,00:00:00.0003829,4.674072265625,0.004674072265625
dotnet2,ManagedVirtual,0,81920,00:00:00.0005247,6.405029296875,0.006405029296875
dotnet2,DllImportDirect,0,81920,00:00:00.0092743,223.074951171875,0.223074951171875
dotnet2,DllImportCustomMarshaller,0,81920,00:00:00.0379622,915.06591796875,0.91506591796875
dotnet2,ManagedStatic,0,163840,00:00:00.0008254,5.037841796875,0.005037841796875
dotnet2,ManagedVirtual,0,163840,00:00:00.0009971,6.0858154296875,0.0060858154296875
dotnet2,DllImportDirect,0,163840,00:00:00.0178480,212.6953125,0.2126953125
dotnet2,DllImportCustomMarshaller,0,163840,00:00:00.0724217,881.480102539062,0.881480102539062
dotnet2,ManagedStatic,0,327680,00:00:00.0015003,7.63031005859375,0.00763031005859375
dotnet2,ManagedVirtual,0,327680,00:00:00.0019879,9.11834716796875,0.00911834716796875
dotnet2,DllImportDirect,0,327680,00:00:00.0352067,214.253845214844,0.214253845214844
dotnet2,DllImportCustomMarshaller,0,327680,00:00:00.1434601,874.206848144531,0.874206848144531
dotnet2,ManagedStatic,0,655360,00:00:00.0029014,7.47894287109375,0.00747894287109375
dotnet2,ManagedVirtual,0,655360,00:00:00.0039777,10.6471252441406,0.0106471252441406
dotnet2,DllImportDirect,0,655360,00:00:00.0705409,214.448394775391,0.214448394775391
dotnet2,DllImportCustomMarshaller,0,655360,00:00:00.2898013,883.180694580078,0.883180694580078
dotnet2,ManagedStatic,0,1310720,00:00:00.0058017,8.24104309082031,0.00824104309082031
dotnet2,ManagedVirtual,0,1310720,00:00:00.0079894,11.4360046386719,0.0114360046386719
dotnet2,DllImportDirect,0,1310720,00:00:00.1413533,215.418472290039,0.215418472290039
dotnet2,DllImportCustomMarshaller,0,1310720,00:00:00.5771006,880.508880615234,0.880508880615234
dotnet2,ManagedStatic,0,2621440,00:00:00.0118040,8.69903564453125,0.00869903564453125
dotnet2,ManagedVirtual,0,2621440,00:00:00.0165059,12.400016784668,0.012400016784668
dotnet2,DllImportDirect,0,2621440,00:00:00.2836430,216.157150268555,0.216157150268555
dotnet2,DllImportCustomMarshaller,0,2621440,00:00:01.1608192,885.322265625,0.885322265625
dotnet2,ManagedStatic,0,5242880,00:00:00.0232934,8.82976531982422,0.00882976531982422
dotnet2,ManagedVirtual,0,5242880,00:00:00.0319616,12.0089721679688,0.0120089721679688
dotnet2,DllImportDirect,0,5242880,00:00:00.5639427,214.947261810303,0.214947261810303
dotnet2,DllImportCustomMarshaller,0,5242880,00:00:02.3699116,903.87565612793,0.90387565612793
dotnet2,DllImportWithCallback,0,15,00:00:00.0005014,33426.6666666667,33.4266666666667
dotnet2,DllImportWithCallback,0,40,00:00:00.0000024,60,0.06
dotnet2,DllImportWithCallback,0,100,00:00:00.0000030,30,0.03
dotnet2,DllImportWithCallback,0,240,00:00:00.0000065,27.0833333333333,0.0270833333333333
dotnet2,DllImportWithCallback,0,560,00:00:00.0000144,25.7142857142857,0.0257142857142857
dotnet2,DllImportWithCallback,0,1280,00:00:00.0000321,25.078125,0.025078125
dotnet2,DllImportWithCallback,0,2880,00:00:00.0000708,24.5833333333333,0.0245833333333333
dotnet2,DllImportWithCallback,0,6400,00:00:00.0001598,24.96875,0.02496875
dotnet2,DllImportWithCallback,0,14080,00:00:00.0003332,23.6647727272727,0.0236647727272727
dotnet2,DllImportWithCallback,0,30720,00:00:00.0007529,24.5084635416667,0.0245084635416667
dotnet2,DllImportWithCallback,0,66560,00:00:00.0015705,38.6192908653846,0.0386192908653846
dotnet2,DllImportWithCallback,0,143360,00:00:00.0033797,44.5012555803571,0.0445012555803571
dotnet2,DllImportWithCallback,0,307200,00:00:00.0071371,46.0192057291667,0.0460192057291667
dotnet2,DllImportWithCallback,0,655360,00:00:00.0152064,46.09130859375,0.04609130859375
dotnet2,DllImportWithCallback,0,1392640,00:00:00.0319513,45.2028521369485,0.0452028521369485
dotnet2,DllImportWithCallback,0,2949120,00:00:00.0676822,45.6686062282986,0.0456686062282986
dotnet2,DllImportWithCallback,0,6225920,00:00:00.1420486,45.6235544305099,0.0456235544305099
dotnet2,DllImportWithCallback,0,13107200,00:00:00.3144457,47.9466018676758,0.0479466018676758
dotnet2,DllImportWithCallback,0,27525120,00:00:00.6269065,45.5186571393694,0.0455186571393694
dotnet2,DllImportWithCallback,0,57671680,00:00:01.3143248,45.5739246715199,0.0455739246715199
dotnet2,ManagedStatic,1,10,00:00:00.0000005,50,0.05
dotnet2,ManagedVirtual,1,10,00:00:00.0000002,20,0.02
dotnet2,DllImportDirect,1,10,00:00:00.0000069,690,0.69
dotnet2,DllImportCustomMarshaller,1,10,00:00:00.0000126,1260,1.26
dotnet2,ManagedStatic,1,20,00:00:00.0000001,5,0.005
dotnet2,ManagedVirtual,1,20,00:00:00.0000002,10,0.01
dotnet2,DllImportDirect,1,20,00:00:00.0000024,120,0.12
dotnet2,DllImportCustomMarshaller,1,20,00:00:00.0000090,450,0.45
dotnet2,ManagedStatic,1,40,00:00:00.0000002,5,0.005
dotnet2,ManagedVirtual,1,40,00:00:00.0000003,7.5,0.0075
dotnet2,DllImportDirect,1,40,00:00:00.0000045,112.5,0.1125
dotnet2,DllImportCustomMarshaller,1,40,00:00:00.0000176,440,0.44
dotnet2,ManagedStatic,1,80,00:00:00.0000005,6.25,0.00625
dotnet2,ManagedVirtual,1,80,00:00:00.0000005,6.25,0.00625
dotnet2,DllImportDirect,1,80,00:00:00.0000087,108.75,0.10875
dotnet2,DllImportCustomMarshaller,1,80,00:00:00.0000350,437.5,0.4375
dotnet2,ManagedStatic,1,160,00:00:00.0000008,5,0.005
dotnet2,ManagedVirtual,1,160,00:00:00.0000010,6.25,0.00625
dotnet2,DllImportDirect,1,160,00:00:00.0000172,107.5,0.1075
dotnet2,DllImportCustomMarshaller,1,160,00:00:00.0001097,685.625,0.685625
dotnet2,ManagedStatic,1,320,00:00:00.0000016,5,0.005
dotnet2,ManagedVirtual,1,320,00:00:00.0000020,6.25,0.00625
dotnet2,DllImportDirect,1,320,00:00:00.0000341,106.5625,0.1065625
dotnet2,DllImportCustomMarshaller,1,320,00:00:00.0001455,454.6875,0.4546875
dotnet2,ManagedStatic,1,640,00:00:00.0000029,4.53125,0.00453125
dotnet2,ManagedVirtual,1,640,00:00:00.0000040,6.25,0.00625
dotnet2,DllImportDirect,1,640,00:00:00.0000690,107.8125,0.1078125
dotnet2,DllImportCustomMarshaller,1,640,00:00:00.0002912,455,0.455
dotnet2,ManagedStatic,1,1280,00:00:00.0000058,4.53125,0.00453125
dotnet2,ManagedVirtual,1,1280,00:00:00.0000080,6.25,0.00625
dotnet2,DllImportDirect,1,1280,00:00:00.0001365,106.640625,0.106640625
dotnet2,DllImportCustomMarshaller,1,1280,00:00:00.0005829,455.390625,0.455390625
dotnet2,ManagedStatic,1,2560,00:00:00.0000114,4.453125,0.004453125
dotnet2,ManagedVirtual,1,2560,00:00:00.0000156,6.09375,0.00609375
dotnet2,DllImportDirect,1,2560,00:00:00.0002722,106.328125,0.106328125
dotnet2,DllImportCustomMarshaller,1,2560,00:00:00.0011802,851.640625,0.851640625
dotnet2,ManagedStatic,1,5120,00:00:00.0000228,4.453125,0.004453125
dotnet2,ManagedVirtual,1,5120,00:00:00.0000314,6.1328125,0.0061328125
dotnet2,DllImportDirect,1,5120,00:00:00.0005439,106.23046875,0.10623046875
dotnet2,DllImportCustomMarshaller,1,5120,00:00:00.0022425,828.61328125,0.82861328125
dotnet2,ManagedStatic,1,10240,00:00:00.0000455,4.443359375,0.004443359375
dotnet2,ManagedVirtual,1,10240,00:00:00.0000623,6.083984375,0.006083984375
dotnet2,DllImportDirect,1,10240,00:00:00.0010879,203.896484375,0.203896484375
dotnet2,DllImportCustomMarshaller,1,10240,00:00:00.0045638,836.30859375,0.83630859375
dotnet2,ManagedStatic,1,20480,00:00:00.0000907,4.4287109375,0.0044287109375
