domain,name,iteration,size,span,ns,us
mono,DllImportCustomMarshaller,0,1310720,00:00:00.5708172,870.374450683594,0.870374450683594
mono,ManagedStatic,0,2621440,00:00:00.0062588,4.67636108398438,0.00467636108398438
mono,ManagedVirtual,0,2621440,00:00:00.0113677,8.53260040283203,0.00853260040283203
mono,DllImportDirect,0,2621440,00:00:00.5632539,429.631767272949,0.429631767272949
mono,DllImportCustomMarshaller,0,2621440,00:00:01.1346608,865.425415039063,0.865425415039063
mono,ManagedStatic,0,5242880,00:00:00.0125509,4.68271255493164,0.00468271255493164
mono,ManagedVirtual,0,5242880,00:00:00.0229719,8.57770919799805,0.00857770919799805
mono,DllImportDirect,0,5242880,00:00:01.1262144,429.575805664062,0.429575805664062
mono,DllImportCustomMarshaller,0,5242880,00:00:02.2715215,866.417217254639,0.866417217254639
mono,DllImportWithCallback,0,15,00:00:00.0002960,19733.3333333333,19.7333333333333
mono,DllImportWithCallback,0,40,00:00:00.0000060,150,0.15
mono,DllImportWithCallback,0,100,00:00:00.0000124,124,0.124
mono,DllImportWithCallback,0,240,00:00:00.0000285,118.75,0.11875
mono,DllImportWithCallback,0,560,00:00:00.0000657,117.321428571429,0.117321428571429
mono,DllImportWithCallback,0,1280,00:00:00.0001528,119.375,0.119375
mono,DllImportWithCallback,0,2880,00:00:00.0003324,115.416666666667,0.115416666666667
mono,DllImportWithCallback,0,6400,00:00:00.0007365,115.078125,0.115078125
mono,DllImportWithCallback,0,14080,00:00:00.0016217,186.200284090909,0.186200284090909
mono,DllImportWithCallback,0,30720,00:00:00.0035586,213.49609375,0.21349609375
mono,DllImportWithCallback,0,66560,00:00:00.0076418,219.978966346154,0.219978966346154
mono,DllImportWithCallback,0,143360,00:00:00.0164632,226.4453125,0.2264453125
mono,DllImportWithCallback,0,307200,00:00:00.0352922,228.815755208333,0.228815755208333
mono,DllImportWithCallback,0,655360,00:00:00.0755116,229.662475585938,0.229662475585937
mono,DllImportWithCallback,0,1392640,00:00:00.1602391,229.951100068934,0.229951100068934
mono,DllImportWithCallback,0,2949120,00:00:00.3380168,229.226616753472,0.229226616753472
mono,DllImportWithCallback,0,6225920,00:00:00.7146573,229.46926719264,0.22946926719264
mono,DllImportWithCallback,0,13107200,00:00:01.5049668,229.565948486328,0.229565948486328
mono,DllImportWithCallback,0,27525120,00:00:03.1594505,229.552150907971,0.229552150907971
mono,DllImportWithCallback,0,57671680,00:00:06.6226796,229.656559337269,0.229656559337269
mono,ManagedStatic,1,10,00:00:00.0000004,40,0.04
mono,ManagedVirtual,1,10,00:00:00.0000002,20,0.02
mono,DllImportDirect,1,10,00:00:00.0000065,650,0.65
mono,DllImportCustomMarshaller,1,10,00:00:00.0000132,1320,1.32
